koi_period,koi_depth,koi_duration,koi_ror,koi_teq,koi_insol,label
4.14810719,175.2,2.535,0.011755,938.0,182.76,1
16.51410989,973.5,4.1575,0.028718,655.0,43.57,1
30.1329298,1015.8,5.172,0.03322,536.0,19.55,1
4.79090809,251.3,2.603,0.014349,990.0,227.24,1
31.71981013,363.4,4.819,0.017414,743.0,71.97,1
99.6415962,952.5,4.448,0.027879,360.0,3.97,1
4.708326451,7912.7,3.16114,0.080242,1162.0,431.02,1
16.37198661,4147.6,3.8449,8.358793,438.0,8.71,0
5.392026903,1151.4,2.9804,0.030649,850.0,123.33,1
6.491682808,7163.3,4.301,0.079893,1062.0,301.54,1
3.044770796,1695.0,10.0134,0.298444,1076.0,317.36,0
3.855603916,16653.0,3.2179,0.119176,1212.0,508.65,1
3.855599139,1030.9,3.183,0.033907,1158.0,425.74,0
38.47876629,23530.0,5.04169,0.138123,484.0,13.01,1
37.601661282,59130.0,8.30604,0.227443,606.0,31.86,0
3.314947362,1398.2,1.8007,0.038195,1155.0,421.03,1
6.71969089,969.7,3.0231,0.046245,952.0,194.18,0
39.6431552,15664.0,6.5292,0.111685,472.0,11.74,1
51.42598578,66068.0,16.9422,0.236829,549.0,21.4,0
21.80451611,1144.9,3.4097,0.033653,543.0,20.48,1
10.28194593,1110.7,3.4366,0.029849,680.0,50.6,1
18.11993039,1506.9,4.2309,0.034825,563.0,23.77,1
3.78402867,426.1,1.9012,0.020134,949.0,191.78,1
5.15448142,697.5,3.228,0.030415,964.0,204.1,1
33.80364366,13494.0,11.4813,0.105539,745.0,72.71,0
5.743469797,1240.2,3.4412,0.032147,982.0,219.95,1
19.974485239,40293.0,4.23479,0.243941,700.0,56.84,0
3.166353562,1473.4,3.3129,0.035047,1273.0,621.92,1
23.899634407,20953.0,3.81881,0.436512,652.0,42.8,0
3.388012244,280.1,2.6849,0.015454,1315.0,705.93,1
5.83909761,273.6,3.1915,0.015116,1097.0,341.48,1
1.620467654,159.6,2.1888,0.011493,1681.0,1893.42,1
10.6816951,307.8,3.605,0.016847,897.0,152.75,1
6.104849417,2090.3,4.6912,0.04092,784.0,89.25,1
3.578780566,11382.0,2.91089,0.096067,1145.0,406.6,1
3.187067566,1037.4,3.119,0.269659,1079.0,319.76,0
5.826657508,1539.1,2.9183,0.035356,1013.0,248.57,1
12.41216347,611.3,3.739,0.02227,787.0,90.65,1
18.74649011,796.8,3.895,0.026327,686.0,52.38,1
20.86021229,1910.5,5.1937,0.040067,781.0,87.76,1
42.63427848,1719.3,6.1998,0.038058,615.0,33.82,1
87.6476068,1009.6,8.871,0.029163,484.0,12.94,1
9.467821474,2237.0,2.4327,0.042684,407.0,6.47,1
0.893040969,741.7,1.0981,0.024717,893.0,151.14,1
4.942783419,11145.0,3.25346,0.099444,1008.0,244.42,1
20.83426731,988.4,4.0454,0.028495,595.0,29.62,1
9.94602357,994.5,3.3862,0.028229,807.0,100.34,1
1.04562195,213.0,1.8955,0.013092,1710.0,2031.84,1
5.71462396,297.8,2.336,0.016046,971.0,210.16,1
102.9641952,1896.7,15.735,0.050162,797.0,95.4,0
8.14515981,446.8,5.073,0.025296,1050.0,287.91,1
18.9985279,430.7,4.529,0.318792,792.0,93.03,1
4.24439049,174.0,3.282,0.015253,1305.0,686.99,1
28.5742692,824.9,4.9427,0.026109,538.0,19.83,1
7.34373964,574.4,1.1784,0.022075,839.0,117.5,1
0.445277068,186.7,3.539,0.307625,2562.0,10177.11,0
0.379463865,1973.3,0.86896,0.305894,3000.0,19256.81,0
9.88047978,18541.0,2.78458,0.235723,860.0,129.45,0
4.6484156,128.4,38.1939,0.013299,2259.0,6152.88,0
17.512014768,4511.7,1.8248,0.110483,804.0,98.77,0
0.525154153,747.5,2.1441,0.255581,2073.0,4391.51,0
1.303861044,598.2,4.0541,0.282709,1610.0,1595.19,0
2.55549176,113.8,9.083,0.237273,1312.0,701.68,0
2.947376671,433.2,2.0911,1.654364,2404.0,7903.84,0
224.7789355,3487.5,11.1899,0.056891,333.0,2.92,1
0.890110752,321.5,0.8774,0.016162,1372.0,838.42,0
5.76573396,248.0,2.924,0.015428,1964.0,3518.78,0
7.42608123,443.3,3.6379,0.019228,1037.0,273.78,1
15.9868932,178.5,4.158,0.012587,803.0,98.51,1
0.73094589,250.2,4.32,0.184858,1922.0,3248.17,0
18.92537246,640.9,3.9835,0.026104,1171.0,443.58,1
0.933749106,186.2,4.256,0.013481,2863.0,15822.49,0
2.037440623,118.6,3.442,0.010693,1572.0,1448.05,0
31.5925809,145.1,13.566,0.010989,688.0,53.09,1
17.157236,110.4,11.284,0.009558,844.0,119.87,1
1.97376085,30222.0,1.82542,0.159864,753.0,76.1,1
13.118962443,372.2,4.3045,0.017826,1768.0,2310.43,1
4.618767792,4399.1,5.9957,0.066285,1170.0,442.78,0
2.785821236,68.9,3.5599,0.008919,1784.0,2388.98,1
52.56901867,26900.0,6.7507,0.418905,737.0,69.62,0
3.411758679,570.6,3.158,0.240197,684.0,51.85,0
0.525426427,324.6,1.0801,0.016596,2069.0,4349.62,0
1.269091415,340.9,1.4647,0.016909,1331.0,740.47,1
2.853133997,277.1,1.465,0.016317,1016.0,251.77,1
6.79685353,393.1,3.1702,0.019,985.0,222.91,1
8.667822346,2121.9,4.9658,0.326603,1303.0,681.39,0
1.475323222,154.9,2.3155,0.011027,2740.0,13331.51,1
4.15246118,223.4,2.5755,0.01428,1941.0,3354.56,1
8.7348852,270.7,4.49,0.015161,890.0,148.62,1
10.26547688,399.6,3.733,0.019462,770.0,83.13,0
3.305577989,17971.0,2.5903,0.335281,1027.0,263.55,0
4.800653901,15304.0,9.0419,0.124793,1347.0,778.45,0
15.06649901,36348.0,5.9885,0.317877,932.0,177.96,0
34.82008158,18848.0,11.1711,0.132704,459.0,10.49,0
0.651784374,2779.3,2.0141,0.290399,2090.0,4500.59,0
1.353771892,1349.1,7.012,0.250431,4903.0,136609.48,0
18.95491633,867.5,24.249,0.258011,1139.0,397.48,0
4.348866254,625.6,3.2797,0.219949,6421.0,401588.95,0
47.93094546,2144.4,2.6897,0.321419,905.0,158.41,0
3.99751422,32.8,3.686,0.005126,2203.0,5563.95,0
1.592633181,633.1,5.5605,0.022007,1053.0,290.51,0
67.5923754,4158.1,12.249,0.063536,588.0,28.2,1
17.02902786,568.9,4.645,0.021839,755.0,76.66,1
6.84619236,246.8,3.529,0.014341,1022.0,258.41,1
67.8321638,507.8,7.358,0.02055,476.0,12.14,1
43.1312147,447.8,3.198,0.020505,554.0,22.21,1
1.224866441,196.0,1.7086,0.012766,1741.0,2174.33,1
37.8102649,570.3,8.733,0.021892,566.0,24.27,1
25.93406406,414.5,4.6142,0.018556,695.0,55.1,1
83.4463485,503.0,6.536,0.020442,471.0,11.59,1
